elapsed time,timestamp,topic,value
17.746,1739217692.446000000,/pose.pose.pose.position.y,-0.012116529195262064
19.755,1739217694.455000000,/pose.pose.pose.position.y,-0.13821064416069356
24.172,1739217698.872000000,/pose.pose.pose.position.y,-0.6575799594255669
28.623,1739217703.323000000,/pose.pose.pose.position.y,-0.8396729369433047
29.651,1739217704.351000000,/pose.pose.pose.position.y,-0.8392322568927197
30.902,1739217705.602000000,/pose.pose.pose.position.y,-0.8474992446751469
32.702,1739217707.402000000,/pose.pose.pose.position.y,-0.9036021078637695
35.94,1739217710.640000000,/pose.pose.pose.position.y,-1.0062548669504263
37.696,1739217712.396000000,/pose.pose.pose.position.y,-1.001238118074372
40.283,1739217714.983000000,/pose.pose.pose.position.y,-1.0109027485859665
42.299,1739217716.999000000,/pose.pose.pose.position.y,-1.0274178709341286
44.812,1739217719.512000000,/pose.pose.pose.position.y,-1.2053999481395903
48.612,1739217723.312000000,/pose.pose.pose.position.y,-1.6475407885898745
52.061,1739217726.761000000,/pose.pose.pose.position.y,-2.082001746375681
56.109,1739217730.809000000,/pose.pose.pose.position.y,-2.588103688962183
60.449,1739217735.149000000,/pose.pose.pose.position.y,-3.0966141798627422
63.952,1739217738.652000000,/pose.pose.pose.position.y,-3.5318959553267257
67.151,1739217741.851000000,/pose.pose.pose.position.y,-3.9491010757449425
71.102,1739217745.802000000,/pose.pose.pose.position.y,-4.436752894515159
74.887,1739217749.587000000,/pose.pose.pose.position.y,-4.855968397815311
78.924,1739217753.624000000,/pose.pose.pose.position.y,-5.354893543596918
83.12,1739217757.820000000,/pose.pose.pose.position.y,-5.831570047663315
87.332,1739217762.032000000,/pose.pose.pose.position.y,-6.283760649126426
91.293,1739217765.993000000,/pose.pose.pose.position.y,-6.708501693384805
97.907,1739217772.607000000,/pose.pose.pose.position.y,-7.076247703155998
102.244,1739217776.944000000,/pose.pose.pose.position.y,-7.625576522152864
106.093,1739217780.793000000,/pose.pose.pose.position.y,-8.220980590098206
110.331,1739217785.031000000,/pose.pose.pose.position.y,-8.816062438388217
114.196,1739217788.896000000,/pose.pose.pose.position.y,-9.419988836673612
118.289,1739217792.989000000,/pose.pose.pose.position.y,-10.006464798101732
122.551,1739217797.251000000,/pose.pose.pose.position.y,-10.611989861600268
126.73,1739217801.430000000,/pose.pose.pose.position.y,-11.209861308247117
130.994,1739217805.694000000,/pose.pose.pose.position.y,-11.797182231934702
134.609,1739217809.309000000,/pose.pose.pose.position.y,-12.385985926735792
138.321,1739217813.021000000,/pose.pose.pose.position.y,-12.957695482650863
141.93,1739217816.630000000,/pose.pose.pose.position.y,-13.487410452337244
145.403,1739217820.103000000,/pose.pose.pose.position.y,-13.974822557034042
150.447,1739217825.147000000,/pose.pose.pose.position.y,-14.025977382290742
152.441,1739217827.141000000,/pose.pose.pose.position.y,-14.057822810332235
154.345,1739217829.045000000,/pose.pose.pose.position.y,-14.141834189261289
162.779,1739217837.479000000,/pose.pose.pose.position.y,-14.36685369400156
166.83,1739217841.530000000,/pose.pose.pose.position.y,-14.760334664180913
170.596,1739217845.296000000,/pose.pose.pose.position.y,-15.178588009776837
174.409,1739217849.109000000,/pose.pose.pose.position.y,-15.592603400101572
178.086,1739217852.786000000,/pose.pose.pose.position.y,-15.978457858242576
181.95,1739217856.650000000,/pose.pose.pose.position.y,-16.317287515840945
186.609,1739217861.309000000,/pose.pose.pose.position.y,-16.64215833269561
211.932,1739217886.632000000,/pose.pose.pose.position.y,-17.070099654163847
215.78,1739217890.480000000,/pose.pose.pose.position.y,-17.254165925996638
219.602,1739217894.302000000,/pose.pose.pose.position.y,-17.792953061135037
223.259,1739217897.959000000,/pose.pose.pose.position.y,-18.38288249116389
226.89,1739217901.590000000,/pose.pose.pose.position.y,-18.959987084408493
231.024,1739217905.724000000,/pose.pose.pose.position.y,-19.527094855731935
233.977,1739217908.677000000,/pose.pose.pose.position.y,-19.999854196616006
237.182,1739217911.882000000,/pose.pose.pose.position.y,-20.499964540563113
240.475,1739217915.175000000,/pose.pose.pose.position.y,-21.00804896957059
244.288,1739217918.988000000,/pose.pose.pose.position.y,-21.606955634292056
248.107,1739217922.807000000,/pose.pose.pose.position.y,-22.206061365631545
251.999,1739217926.699000000,/pose.pose.pose.position.y,-22.805876103177802
5.597,1739217680.297000000,/waffle/pose.pose.position.y,-0.000004772834393597699
7.977,1739217682.677000000,/waffle/pose.pose.position.y,-0.000009886174626841697
10.741,1739217685.441000000,/waffle/pose.pose.position.y,-0.00000871474437855461
13.471,1739217688.171000000,/waffle/pose.pose.position.y,-0.000007429857680011166
16.345,1739217691.045000000,/waffle/pose.pose.position.y,-0.0002828070326430122
19.563,1739217694.263000000,/waffle/pose.pose.position.y,-0.11660334378428261
22.88,1739217697.580000000,/waffle/pose.pose.position.y,-0.47305253745243275
25.763,1739217700.463000000,/waffle/pose.pose.position.y,-0.8009074069745289
28.498,1739217703.198000000,/waffle/pose.pose.position.y,-0.8182719668306436
31.304,1739217706.004000000,/waffle/pose.pose.position.y,-0.842716821058478
34.471,1739217709.171000000,/waffle/pose.pose.position.y,-0.9458066905220375
37.648,1739217712.348000000,/waffle/pose.pose.position.y,-0.9797432503143382
40.812,1739217715.512000000,/waffle/pose.pose.position.y,-0.9717138060852475
43.981,1739217718.681000000,/waffle/pose.pose.position.y,-1.1343000420037612
47.261,1739217721.961000000,/waffle/pose.pose.position.y,-1.4706770104825848
50.621,1739217725.321000000,/waffle/pose.pose.position.y,-1.8828697790003313
53.903,1739217728.603000000,/waffle/pose.pose.position.y,-2.3076123677558846
57.435,1739217732.135000000,/waffle/pose.pose.position.y,-2.730566769953096
61.081,1739217735.781000000,/waffle/pose.pose.position.y,-3.155802188582054
64.459,1739217739.159000000,/waffle/pose.pose.position.y,-3.5795419899763123
67.687,1739217742.387000000,/waffle/pose.pose.position.y,-4.002330452046856
71.102,1739217745.802000000,/waffle/pose.pose.position.y,-4.406884669819412
74.709,1739217749.409000000,/waffle/pose.pose.position.y,-4.824731681814412
78.161,1739217752.861000000,/waffle/pose.pose.position.y,-5.2303623310250735
81.69,1739217756.390000000,/waffle/pose.pose.position.y,-5.630673632819651
85.159,1739217759.859000000,/waffle/pose.pose.position.y,-6.019455006146931
88.557,1739217763.257000000,/waffle/pose.pose.position.y,-6.396734872975991
91.753,1739217766.453000000,/waffle/pose.pose.position.y,-6.7196587483045285
95.103,1739217769.803000000,/waffle/pose.pose.position.y,-6.90278512503171
98.465,1739217773.165000000,/waffle/pose.pose.position.y,-7.097614090719818
102.243,1739217776.943000000,/waffle/pose.pose.position.y,-7.576649237582174
105.332,1739217780.032000000,/waffle/pose.pose.position.y,-8.072645222427433
108.828,1739217783.528000000,/waffle/pose.pose.position.y,-8.569408428882848
112.12,1739217786.820000000,/waffle/pose.pose.position.y,-9.063607555580594
115.441,1739217790.141000000,/waffle/pose.pose.position.y,-9.559337933741672
118.775,1739217793.475000000,/waffle/pose.pose.position.y,-10.056998794226734
122.283,1739217796.983000000,/waffle/pose.pose.position.y,-10.552636796875706
125.868,1739217800.568000000,/waffle/pose.pose.position.y,-11.05095405093374
129.401,1739217804.101000000,/waffle/pose.pose.position.y,-11.549135229453691
132.658,1739217807.358000000,/waffle/pose.pose.position.y,-12.045542688009505
135.778,1739217810.478000000,/waffle/pose.pose.position.y,-12.527063725477287
138.792,1739217813.492000000,/waffle/pose.pose.position.y,-12.999449074437411
141.793,1739217816.493000000,/waffle/pose.pose.position.y,-13.437466295217446
144.758,1739217819.458000000,/waffle/pose.pose.position.y,-13.843422590464986
147.57,1739217822.270000000,/waffle/pose.pose.position.y,-13.974715346144016
150.981,1739217825.681000000,/waffle/pose.pose.position.y,-13.964630367498163
154.239,1739217828.939000000,/waffle/pose.pose.position.y,-14.083490276431592
156.915,1739217831.615000000,/waffle/pose.pose.position.y,-14.08848842352331
160.018,1739217834.718000000,/waffle/pose.pose.position.y,-14.115068477580293
163.239,1739217837.939000000,/waffle/pose.pose.position.y,-14.373413900655104
166.68,1739217841.380000000,/waffle/pose.pose.position.y,-14.711005329116498
169.829,1739217844.529000000,/waffle/pose.pose.position.y,-15.052006096055079
172.922,1739217847.622000000,/waffle/pose.pose.position.y,-15.399540244925094
176.165,1739217850.865000000,/waffle/pose.pose.position.y,-15.73477903084111
179.225,1739217853.925000000,/waffle/pose.pose.position.y,-16.04022970785624
182.436,1739217857.136000000,/waffle/pose.pose.position.y,-16.32998863006329
185.629,1739217860.329000000,/waffle/pose.pose.position.y,-16.571243299385433
189.34,1739217864.040000000,/waffle/pose.pose.position.y,-16.74237678589705
192.208,1739217866.908000000,/waffle/pose.pose.position.y,-16.759352277603618
194.999,1739217869.699000000,/waffle/pose.pose.position.y,-16.735941524825037
197.95,1739217872.650000000,/waffle/pose.pose.position.y,-16.715552606932448
200.766,1739217875.466000000,/waffle/pose.pose.position.y,-16.720556119128762
203.787,1739217878.487000000,/waffle/pose.pose.position.y,-16.980657122786813
206.48,1739217881.180000000,/waffle/pose.pose.position.y,-16.99909225034031
209.28,1739217883.980000000,/waffle/pose.pose.position.y,-17.000697955454502
212.439,1739217887.139000000,/waffle/pose.pose.position.y,-17.027570398930752
215.719,1739217890.419000000,/waffle/pose.pose.position.y,-17.18940157621774
218.805,1739217893.505000000,/waffle/pose.pose.position.y,-17.637518899969052
221.856,1739217896.556000000,/waffle/pose.pose.position.y,-18.131309963485666
224.911,1739217899.611000000,/waffle/pose.pose.position.y,-18.618768749804794
227.971,1739217902.671000000,/waffle/pose.pose.position.y,-19.08992717903398
231.404,1739217906.104000000,/waffle/pose.pose.position.y,-19.559933529854764
234.433,1739217909.133000000,/waffle/pose.pose.position.y,-20.054881680476356
237.689,1739217912.389000000,/waffle/pose.pose.position.y,-20.556559853292345
240.886,1739217915.586000000,/waffle/pose.pose.position.y,-21.05148105213358
244.093,1739217918.793000000,/waffle/pose.pose.position.y,-21.55100240592623
247.318,1739217922.018000000,/waffle/pose.pose.position.y,-22.049710149771307
250.547,1739217925.247000000,/waffle/pose.pose.position.y,-22.548585670563643
253.698,1739217928.398000000,/waffle/pose.pose.position.y,-23.04715388019878
